発電所コード,エリア,発電所名,ユニット名,発電方式・燃種,対象日,00:30[kWh],01:00[kWh],01:30[kWh],02:00[kWh],02:30[kWh],03:00[kWh],03:30[kWh],04:00[kWh],04:30[kWh],05:00[kWh],05:30[kWh],06:00[kWh],06:30[kWh],07:00[kWh],07:30[kWh],08:00[kWh],08:30[kWh],09:00[kWh],09:30[kWh],10:00[kWh],10:30[kWh],11:00[kWh],11:30[kWh],12:00[kWh],12:30[kWh],13:00[kWh],13:30[kWh],14:00[kWh],14:30[kWh],15:00[kWh],15:30[kWh],16:00[kWh],16:30[kWh],17:00[kWh],17:30[kWh],18:00[kWh],18:30[kWh],19:00[kWh],19:30[kWh],20:00[kWh],20:30[kWh],21:00[kWh],21:30[kWh],22:00[kWh],22:30[kWh],23:00[kWh],23:30[kWh],24:00[kWh],日量[kWh],更新日時
2500125017,東北,相馬共同火力発電株式会社新地火力発電所,新地2号機,火力（石炭）,2025-07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025/07/24 15:30:13
O674624B07,東北,相馬石炭・バイオマス発電所,単独,火力（石炭）,2025-07-23,51000.0,50000.0,50000.0,51000.0,50000.0,51000.0,50000.0,51000.0,50000.0,50000.0,51000.0,50000.0,51000.0,50000.0,50000.0,51000.0,50000.0,51000.0,50000.0,50000.0,51000.0,50000.0,51000.0,50000.0,51000.0,50000.0,50000.0,51000.0,50000.0,50000.0,51000.0,50000.0,51000.0,50000.0,50000.0,51000.0,50000.0,51000.0,50000.0,51000.0,50000.0,50000.0,51000.0,50000.0,51000.0,50000.0,50000.0,51000.0,2420000.0,2025/07/24 15:30:13
2J138,東北,石巻雲雀野発電所,1号機,火力（石炭）,2025-07-23,68000.0,68000.0,68000.0,67000.0,68000.0,68000.0,68000.0,67000.0,68000.0,68000.0,67000.0,68000.0,68000.0,67000.0,68000.0,68000.0,68000.0,67000.0,68000.0,68000.0,68000.0,67000.0,68000.0,68000.0,67000.0,68000.0,68000.0,68000.0,67000.0,68000.0,68000.0,67000.0,68000.0,68000.0,68000.0,67000.0,68000.0,68000.0,67000.0,68000.0,68000.0,68000.0,67000.0,68000.0,68000.0,67000.0,68000.0,68000.0,3251000.0,2025/07/24 15:30:13
51842,東北,糸魚川発電所,単独,火力（石炭）,2025-07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025/07/24 15:30:13
528522M101,東北,酒田共同火力発電所,１号機,火力（石炭）,2025-07-23,60032.0,60384.0,61472.0,60445.0,60384.0,60517.0,59905.0,60517.0,59840.0,60032.0,60563.0,61138.0,62652.0,73149.0,112583.0,135296.0,159438.0,162972.0,161790.0,163548.0,160253.0,162080.0,160433.0,161408.0,161991.0,160887.0,161806.0,161904.0,161186.0,160968.0,160531.0,160000.0,158033.0,160000.0,160531.0,161000.0,160531.0,161000.0,161500.0,161500.0,161467.0,161500.0,161969.0,161000.0,124279.0,93750.0,67221.0,62457.0,5967842.0,2025/07/24 15:30:13
528522M101,東北,酒田共同火力発電所,２号機,火力（石炭）,2025-07-23,51968.0,50616.0,51528.0,51555.0,50616.0,51483.0,51095.0,51483.0,50160.0,51968.0,53437.0,84862.0,101348.0,101851.0,101417.0,101704.0,102562.0,103028.0,103210.0,102452.0,103747.0,119920.0,158567.0,158592.0,147009.0,143113.0,156194.0,159096.0,151814.0,160032.0,161469.0,160000.0,158967.0,160000.0,161469.0,161000.0,161469.0,161000.0,161500.0,161500.0,160533.0,161500.0,161031.0,161000.0,160721.0,161250.0,153779.0,106543.0,5761158.0,2025/07/24 15:30:13
4B189,東北,上越火力発電所,１-１号機,火力（ガス）,2025-07-23,225000.0,212000.0,202000.0,207000.0,214000.0,239000.0,245000.0,250000.0,246000.0,254000.0,241000.0,248000.0,242000.0,236000.0,235000.0,231000.0,201000.0,214000.0,233000.0,232000.0,219000.0,225000.0,222000.0,230000.0,194000.0,180000.0,221000.0,236000.0,244000.0,250000.0,213000.0,217000.0,210000.0,225000.0,247000.0,250000.0,248000.0,250000.0,248000.0,253000.0,241000.0,250000.0,250000.0,253000.0,249000.0,251000.0,226000.0,217000.0,11126000.0,2025/07/24 15:30:13
4B190,東北,上越火力発電所,１-２号機,火力（ガス）,2025-07-23,213000.0,201000.0,190000.0,197000.0,201000.0,226000.0,233000.0,243000.0,241000.0,251000.0,226000.0,238000.0,235000.0,220000.0,221000.0,217000.0,192000.0,205000.0,222000.0,221000.0,206000.0,211000.0,210000.0,215000.0,185000.0,170000.0,211000.0,229000.0,243000.0,248000.0,213000.0,218000.0,210000.0,225000.0,246000.0,248000.0,247000.0,250000.0,247000.0,250000.0,235000.0,250000.0,244000.0,244000.0,238000.0,241000.0,212000.0,204000.0,10743000.0,2025/07/24 15:30:13
4B191,東北,上越火力発電所,２-１号機,火力（ガス）,2025-07-23,214000.0,203000.0,192000.0,199000.0,204000.0,229000.0,233000.0,246000.0,243000.0,253000.0,227000.0,240000.0,237000.0,223000.0,223000.0,218000.0,195000.0,205000.0,224000.0,222000.0,208000.0,214000.0,210000.0,218000.0,186000.0,171000.0,214000.0,229000.0,246000.0,249000.0,213000.0,218000.0,209000.0,226000.0,238000.0,226000.0,213000.0,250000.0,249000.0,253000.0,237000.0,253000.0,246000.0,246000.0,241000.0,242000.0,215000.0,206000.0,10756000.0,2025/07/24 15:30:13
4B192,東北,上越火力発電所,２-２号機,火力（ガス）,2025-07-23,219000.0,208000.0,195000.0,204000.0,209000.0,238000.0,244000.0,255000.0,251000.0,259000.0,240000.0,250000.0,244000.0,234000.0,235000.0,226000.0,196000.0,207000.0,232000.0,226000.0,214000.0,220000.0,219000.0,226000.0,189000.0,174000.0,223000.0,237000.0,249000.0,254000.0,212000.0,218000.0,208000.0,227000.0,251000.0,254000.0,253000.0,255000.0,253000.0,258000.0,241000.0,256000.0,255000.0,258000.0,252000.0,252000.0,222000.0,214000.0,11116000.0,2025/07/24 15:30:13
